iter	Passed	Remaining
0	56	56609
1	57	28443
2	57	19064
3	57	14363
4	58	11544
5	58	9668
6	58	8325
7	58	7309
8	59	6540
9	59	5915
10	60	5398
11	60	4966
12	60	4600
13	60	4287
14	61	4017
15	61	3780
16	61	3572
17	62	3387
18	62	3221
19	62	3072
20	63	2938
21	63	2814
22	63	2701
23	63	2600
24	64	2507
25	64	2418
26	64	2337
27	65	2261
28	65	2191
29	65	2125
30	66	2065
31	66	2007
32	66	1952
33	66	1901
34	67	1853
35	67	1808
36	67	1763
37	68	1722
38	68	1682
39	68	1645
40	68	1609
41	69	1575
42	69	1544
43	69	1513
44	69	1484
45	70	1456
46	70	1434
47	71	1409
48	71	1384
49	71	1361
50	71	1337
51	72	1315
52	72	1293
53	72	1273
54	73	1254
55	73	1234
56	73	1216
57	73	1199
58	74	1181
59	74	1165
60	74	1148
61	74	1133
62	75	1118
63	75	1103
64	75	1090
65	76	1086
66	77	1073
67	77	1060
68	77	1047
69	77	1034
70	78	1022
71	78	1010
72	78	999
73	78	988
74	79	976
75	79	966
76	79	955
77	79	945
78	80	935
79	80	925
80	80	916
81	81	907
82	81	896
83	81	887
84	81	879
85	81	870
86	82	862
87	82	854
88	82	846
89	82	839
90	83	831
91	83	824
92	83	817
93	84	810
94	84	803
95	84	796
96	84	789
97	85	783
98	85	776
99	85	770
100	85	764
101	86	758
102	86	753
103	86	748
104	87	743
105	87	737
106	87	732
107	87	726
108	88	721
109	88	715
110	88	710
111	88	705
112	89	700
113	89	695
114	89	690
115	89	685
116	90	680
117	90	675
118	90	670
119	90	666
120	91	662
121	91	657
122	91	653
123	91	649
124	92	645
125	92	641
126	92	636
127	92	633
128	93	629
129	93	625
130	93	622
131	94	619
132	94	615
133	94	612
134	94	608
135	95	605
136	95	601
137	95	598
138	96	595
139	96	592
140	96	588
141	96	584
142	97	581
143	97	578
144	97	575
145	97	571
146	98	568
147	98	565
148	98	562
149	98	560
150	99	557
151	99	554
152	99	551
153	99	548
154	100	546
155	100	543
156	100	541
157	101	538
158	101	535
159	101	533
160	101	530
161	102	527
162	102	525
163	102	523
164	102	520
165	103	518
166	103	515
167	103	513
168	103	510
169	104	508
170	104	506
171	104	504
172	105	501
173	105	499
174	105	497
175	105	495
176	106	493
177	106	491
178	106	488
179	106	487
180	107	484
181	107	483
182	107	481
183	108	479
184	108	477
185	108	475
186	108	473
187	109	471
188	109	469
189	109	467
190	109	465
191	110	464
192	110	462
193	110	460
194	111	458
195	111	456
196	111	455
197	111	453
198	112	451
199	112	449
200	112	448
201	113	446
202	113	444
203	113	442
204	113	441
205	113	439
206	114	437
207	114	436
208	114	434
209	115	432
210	115	430
211	115	429
212	115	427
213	116	426
214	116	424
215	116	422
216	116	421
217	117	419
218	117	418
219	117	417
220	117	415
221	118	414
222	118	413
223	118	411
224	119	410
225	119	408
226	119	407
227	120	406
228	120	405
229	120	403
230	120	402
231	121	400
232	121	399
233	121	397
234	121	396
235	122	395
236	122	393
237	122	392
238	122	391
239	123	389
240	123	388
241	123	387
242	123	385
243	124	384
244	124	383
245	124	382
246	124	381
247	125	379
248	125	378
249	125	377
250	125	375
251	126	374
252	126	373
253	126	372
254	126	370
255	127	369
256	127	368
257	127	367
258	128	366
259	128	365
260	128	364
261	128	363
262	129	361
263	129	360
264	129	359
265	129	358
266	130	359
267	131	358
268	131	357
269	131	356
270	132	355
271	132	354
272	132	353
273	132	351
274	133	350
275	133	349
276	133	348
277	133	347
278	134	346
279	134	345
280	134	344
281	134	343
282	135	342
283	135	341
284	135	340
285	136	339
286	136	338
287	136	337
288	136	336
289	137	335
290	137	334
291	137	334
292	138	333
293	138	332
294	138	331
295	138	330
296	139	331
297	140	330
298	140	329
299	140	328
300	140	327
301	141	326
302	141	325
303	141	324
304	142	323
305	142	322
306	142	321
307	142	320
308	143	319
309	143	319
310	143	318
311	143	317
312	144	316
313	144	315
314	144	314
315	144	313
316	145	312
317	145	311
318	145	311
319	145	310
320	146	309
321	146	308
322	146	307
323	147	306
324	147	306
325	147	305
326	147	304
327	148	303
328	148	302
329	148	302
330	149	301
331	149	300
332	149	299
333	149	298
334	150	298
335	150	297
336	150	296
337	150	295
338	151	294
339	151	294
340	151	293
341	152	292
342	152	291
343	152	290
344	152	290
345	153	289
346	153	288
347	153	287
348	153	287
349	154	286
350	154	285
351	154	284
352	155	284
353	155	283
354	155	282
355	155	281
356	156	281
357	156	280
358	156	279
359	156	278
360	157	278
361	157	277
362	157	276
363	157	276
364	158	275
365	158	274
366	158	273
367	159	273
368	159	272
369	159	271
370	159	271
371	160	270
372	160	269
373	160	269
374	160	268
375	161	267
376	161	266
377	161	266
378	162	265
379	162	264
380	162	264
381	162	263
382	163	262
383	163	261
384	163	261
385	163	260
386	164	259
387	164	259
388	164	258
389	165	258
390	165	257
391	165	256
392	165	256
393	166	255
394	166	254
395	166	254
396	166	253
397	167	252
398	167	252
399	167	251
400	167	250
401	168	250
402	168	249
403	168	248
404	168	248
405	169	247
406	169	246
407	169	246
408	169	245
409	170	245
410	170	244
411	170	243
412	171	243
413	171	242
414	171	241
415	171	241
416	172	240
417	172	240
418	172	239
419	172	238
420	173	238
421	173	237
422	173	237
423	174	236
424	174	235
425	174	235
426	174	234
427	175	234
428	175	233
429	175	232
430	175	232
431	176	231
432	176	231
433	176	230
434	176	229
435	177	229
436	177	228
437	177	228
438	178	227
439	178	226
440	178	226
441	178	225
442	179	225
443	179	224
444	179	224
445	179	223
446	180	222
447	180	222
448	180	221
449	181	221
450	181	220
451	181	220
452	181	219
453	182	219
454	182	218
455	182	217
456	183	217
457	183	216
458	183	216
459	183	215
460	184	215
461	184	214
462	184	214
463	184	213
464	185	213
465	185	212
466	185	212
467	186	211
468	186	210
469	186	210
